trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
381,False,"{'a': 0.001, 'e': 0.6838614092123558}",25,3,-20.862876674186854,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
382,False,"{'a': 0.001, 'e': 0.6831778896198997}",20,0,-162.8774597345288,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
383,False,"{'a': 0.001, 'e': 0.6824950532053901}",25,2,-35.95207811960056,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 0}",1
384,False,"{'a': 0.001, 'e': 0.6818128992859905}",25,0,-51.63764550739981,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",1
385,False,"{'a': 0.001, 'e': 0.6811314271795471}",20,0,-26.573540121311673,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
386,False,"{'a': 0.001, 'e': 0.6804506362045877}",20,0,-21.131512918182388,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
387,False,"{'a': 0.001, 'e': 0.679770525680321}",25,0,-44.13008468655495,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
388,False,"{'a': 0.001, 'e': 0.6790910949266368}",30,10,-1.5497980182920057,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
389,False,"{'a': 0.001, 'e': 0.678412343264104}",20,3,-7.829596884054803,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
390,False,"{'a': 0.001, 'e': 0.6777342700139711}",30,0,-94.57823329279054,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
391,False,"{'a': 0.001, 'e': 0.6770568744981647}",20,0,-117.33538915720726,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
392,False,"{'a': 0.001, 'e': 0.6763801560392891}",20,0,-37.123156741600226,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
393,False,"{'a': 0.001, 'e': 0.675704113960626}",25,3,5.518328300910575,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
394,False,"{'a': 0.001, 'e': 0.6750287475861332}",20,0,-1.8238896585342292,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
395,False,"{'a': 0.001, 'e': 0.6743540562404442}",30,0,-144.20293354542582,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
396,False,"{'a': 0.001, 'e': 0.6736800392488677}",30,0,-204.24343165844493,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
397,False,"{'a': 0.001, 'e': 0.6730066959373864}",25,13,-75.51775223436236,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
398,False,"{'a': 0.001, 'e': 0.6723340256326572}",20,0,-99.75348822742454,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
399,False,"{'a': 0.001, 'e': 0.6716620276620098}",20,5,-10.477290570328599,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
400,False,"{'a': 0.001, 'e': 0.6709907013534459}",20,0,-6.088837598354123,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
401,False,"{'a': 0.001, 'e': 0.6703200460356393}",20,0,-98.15244793488768,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
402,False,"{'a': 0.001, 'e': 0.6696500610379346}",25,0,-119.57925122378305,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
403,False,"{'a': 0.001, 'e': 0.6689807456903467}",30,0,-146.94650466439276,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
404,False,"{'a': 0.001, 'e': 0.6683120993235603}",25,0,-78.69270834360788,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
405,False,"{'a': 0.001, 'e': 0.6676441212689289}",20,0,-14.86726724210554,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
406,False,"{'a': 0.001, 'e': 0.6669768108584744}",25,0,-66.2942157960999,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
